geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9377644 38.9844437),1,27,Maple,Red,,Acer,rubrum,,20.3,4.5,1,48,8,26.6,4719443.509,-8564672.759,,-76.9377644,38.9844437
POINT (-76.9534717 39.0047046),2,0,Sweetgum,American,,Liquidambar,styraciflua,,0,4.5,1,0,0,0,4722345.482,-8566421.279,,-76.9534717,39.0047046
POINT (-76.9481494 38.9847038),3,1026,Oak,Willow,,Quercus,phellos,,28.3,4.5,1,61,13,31.2,4719480.753,-8565828.806,,-76.9481494,38.9847038
POINT (-76.9414935 38.9872078),4,2880,Redwood,Dawn,,Metasequoia,glyptostroboides,,18.5,4.5,1,51,6,13.3,4719839.369,-8565087.88,,-76.9414935,38.9872078
POINT (-76.940688 38.9840039),5,0,Camellia,Hybrid,Winter Fire,Camellia,x,Winter Fire,0,4.5,1,4,0,1,4719380.525,-8564998.207,,-76.940688,38.9840039
POINT (-76.9358621 38.9866418),6,1779,Cypress,Leyland,,X Cupressocyparis,leylandii,,0,4.5,1,0,0,0,4719758.3,-8564460.987,,-76.9358621,38.9866418
POINT (-76.9412093 38.9985422),7,0,Maple,Red,,Acer,rubrum,,4,4.5,1,0,0,0,4721462.75,-8565056.242,,-76.9412093,38.9985422
POINT (-76.950113 38.9901359),8,0,Holly,Winterberry,Winter Red,Ilex,verticillata,Winter Red,0,4.5,1,6,0,2,4720258.72,-8566047.395,,-76.950113,38.9901359
POINT (-76.9486486 38.9917168),9,0,Oak,Pin,,Quercus,palustris,,0.5,4.5,1,0,0,0,4720485.148,-8565884.381,,-76.9486486,38.9917168
POINT (-76.949845 38.9920845),10,0,Linden,Silver,Sterling Silver,Tilia,tomentosa,,3.8,4,1,0,0,0,4720537.813,-8566017.563,,-76.949845,38.9920845
POINT (-76.9494366 38.991987),11,0,Yew,English,,Taxus,baccata,Densiformis,0,4.5,1,2,0,1,4720523.84,-8565972.094,,-76.9494366,38.991987
POINT (-76.948656 38.9932828),12,0,Maple,Red,,Acer,rubrum,,3.1,4.5,1,15.1,0,0,4720709.441,-8565885.198,,-76.948656,38.9932828
POINT (-76.9496665 38.9923285),13,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,4.5,1,0,0,0,4720572.756,-8565997.694,,-76.9496665,38.9923285
